Score, Hidden_nodes, Epochs, Batch_size, Learning_rate
0.66667, 500, 50, 300, 1.00000
0.66667, 500, 50, 300, 0.10000
0.66667, 500, 50, 300, 0.50000
0.66667, 500, 50, 0, 1.00000
0.84444, 500, 50, 50, 1.00000
0.66667, 500, 50, 0, 0.50000
0.66667, 500, 50, 50, 0.01000
0.98889, 1000, 20, 1, 0.50000
0.66667, 500, 50, 300, 0.01000
0.98889, 1000, 20, 1, 0.01000
0.98889, 1000, 20, 1, 0.10000
0.85556, 500, 50, 50, 0.50000
0.74444, 500, 50, 50, 0.10000
0.43333, 500, 50, 0, 0.10000
0.66667, 500, 50, 0, 0.01000
0.80000, 1000, 20, 1, 1.00000
0.94444, 500, 50, 1, 1.00000
0.98889, 500, 50, 1, 0.50000
0.98889, 500, 50, 1, 0.01000
0.98889, 500, 50, 1, 0.10000
0.66667, 500, 75, 300, 1.00000
0.66667, 500, 75, 300, 0.50000
0.66667, 500, 75, 300, 0.10000
0.87778, 500, 75, 50, 1.00000
0.66667, 500, 75, 0, 1.00000
0.66667, 500, 75, 0, 0.50000
0.66667, 500, 75, 300, 0.01000
0.66667, 500, 75, 50, 0.01000
0.92222, 500, 75, 50, 0.50000
0.66667, 500, 75, 0, 0.10000
0.92222, 500, 75, 50, 0.10000
0.66667, 500, 75, 0, 0.01000
0.98889, 500, 75, 1, 1.00000
0.97778, 500, 75, 1, 0.50000
0.98889, 500, 75, 1, 0.01000
0.98889, 500, 75, 1, 0.10000
0.66667, 1000, 50, 300, 0.10000
0.84444, 1000, 50, 50, 0.10000
0.66667, 1000, 50, 300, 1.00000
0.66667, 1000, 50, 50, 0.01000
0.66667, 1000, 50, 300, 0.50000
0.66667, 1000, 50, 300, 0.01000
0.66667, 1000, 50, 0, 0.01000
0.66667, 1000, 50, 0, 0.50000
0.85556, 1000, 50, 50, 0.50000
0.66667, 1000, 50, 0, 1.00000
0.66667, 1000, 50, 0, 0.10000
0.84444, 1000, 50, 50, 1.00000
0.98889, 1000, 50, 1, 0.50000
0.98889, 1000, 50, 1, 0.10000
0.98889, 1000, 50, 1, 0.01000
0.90000, 1000, 50, 1, 1.00000
0.66667, 1000, 75, 300, 0.10000
0.85556, 1000, 75, 50, 0.10000
0.66667, 1000, 75, 300, 1.00000
0.70000, 1000, 75, 50, 0.01000
0.66667, 1000, 75, 300, 0.50000
0.66667, 1000, 75, 300, 0.01000
0.66667, 1000, 75, 0, 0.50000
0.66667, 1000, 75, 0, 0.01000
0.66667, 1000, 75, 0, 1.00000
0.88889, 1000, 75, 50, 1.00000
0.92222, 1000, 75, 50, 0.50000
0.66667, 1000, 75, 0, 0.10000
0.97778, 1000, 75, 1, 0.50000
0.98889, 1000, 75, 1, 0.10000
0.98889, 1000, 75, 1, 0.01000
0.90000, 1000, 75, 1, 1.00000
